period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
1984,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20266522,MMCF
1983,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),18659046,MMCF
1982,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20272254,MMCF
1981,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21587453,MMCF
1980,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21869692,MMCF
1979,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21883353,MMCF
1978,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21308815,MMCF
1977,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21097071,MMCF
1976,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20943778,MMCF
1975,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21103530,MMCF
1974,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),22849793,MMCF
1973,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24067202,MMCF
1972,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24016109,MMCF
1971,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),24088031,MMCF
1970,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),23786453,MMCF
1969,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),22679195,MMCF
1968,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),21325000,MMCF
1967,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),20251776,MMCF
1966,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),19033839,MMCF
1965,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),17963100,MMCF
1964,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),17535553,MMCF
1963,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),16973368,MMCF
1962,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),16038973,MMCF
1961,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),15460312,MMCF
1960,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),15087911,MMCF
1959,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),14229272,MMCF
1958,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),13146635,MMCF
1957,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),12906669,MMCF
1956,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),12372905,MMCF
1955,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),11719794,MMCF
1954,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),10984850,MMCF
1953,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),10645798,MMCF
1952,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),10272566,MMCF
1951,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),9689372,MMCF
1950,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),8479650,MMCF
1949,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),7546825,MMCF
1948,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),7178777,MMCF
1947,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),6733230,MMCF
1946,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),6293037,MMCF
1945,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),6000161,MMCF
1944,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),5708288,MMCF
1943,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),5024449,MMCF
1942,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),4525095,MMCF
1941,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),4168116,MMCF
1940,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),3752702,MMCF
1939,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),3387095,MMCF
1938,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),3108858,MMCF
1937,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),3084567,MMCF
1936,NUS,U.S.,EPG0,Natural Gas,FGW,Gross Withdrawals,N9010US2,U.S. Natural Gas Gross Withdrawals (MMcf),2691512,MMCF
